"Timestamp","What is your age group?","What best describes your relationship to the project/artefact?","How familiar are you with the type of problem or activity that this artefact addresses?"," [The artefact is easy to understand and use.]"," [The artefact is easy to navigate/access.]"," [The information/content provided is clear.]"," [The artefact addresses a relevant user need/problem.]"," [The artefact is useful for its intended purpose.]"," [The artefact performs its intended function effectively.]"," [I would be willing to use this artefact in the future.]"," [I would recommend this artefact to other potential users.]"
"2026/09/05 4:34:46 PM GMT+5:30","18–24","Student/academic user","Very familiar","4","4","4","5","4","5","4","4"
"2026/09/05 4:35:09 PM GMT+5:30","25–34","Intended end user","Very familiar","3","3","2","2","4","2","3","4"
"2026/09/05 4:35:37 PM GMT+5:30","35–44","Student/academic user","Moderately familiar","4","4","4","5","4","4","4","5"
"2026/09/05 4:36:06 PM GMT+5:30","35–44","Professional/practitioner","Very familiar","4","5","4","5","4","5","4","5"
"2026/09/05 4:36:24 PM GMT+5:30","18–24","Student/academic user","Moderately familiar","4","4","4","5","4","4","4","5"
"2026/09/05 4:37:05 PM GMT+5:30","18–24","Student/academic user","Slightly familiar","4","4","5","4","4","4","4","5"
"2026/09/05 4:37:25 PM GMT+5:30","35–44","Professional/practitioner","Moderately familiar","4","4","4","4","3","3","4","4"
"2026/09/05 4:37:42 PM GMT+5:30","35–44","Potential beneficiary","Very familiar","4","4","5","4","4","4","5","4"
"2026/09/05 4:38:02 PM GMT+5:30","25–34","Potential beneficiary","Very familiar","4","4","3","4","4","4","4","3"
"2026/09/05 4:38:22 PM GMT+5:30","18–24","Student/academic user","Moderately familiar","4","4","5","4","4","3","4","3"
